20,0,6,6,-0.8680,0,0.7105,0.1262,0.8738,0.2895
20,0,3,3,-0.7251,1,0.3924,0.2596,0.7404,0.6076
20,0,12,3,-0.9519,0,0.7368,0.0228,0.9772,0.2632
20,0,9,9,-0.6904,0,0.8718,0.0061,0.9939,0.1282
20,0,18,9,-0.4711,0,0.9429,0.0016,0.9984,0.0571
20,0,15,6,-0.3335,1,0.7445,0.0048,0.9952,0.2555
20,0,8,8,-0.7318,0,0.8535,0.0016,0.9984,0.1465
20,0,17,8,-0.5630,0,0.9210,0.0005,0.9995,0.0790
20,0,2,2,-0.4241,0,0.9722,0.0001,0.9999,0.0278
20,0,11,2,-0.2102,0,0.9906,0.0000,1.0000,0.0094
21,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
21,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
21,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
21,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
21,0,18,9,-0.2516,1,0.0002,0.9911,0.0089,0.9998
22,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
22,0,6,6,-0.8680,0,0.7105,0.1262,0.8738,0.2895
22,0,3,3,-0.7251,0,0.9141,0.0095,0.9905,0.0859
22,0,9,9,-0.3849,0,0.9627,0.0025,0.9975,0.0373
22,0,12,3,-0.2516,0,0.9911,0.0002,0.9998,0.0089
23,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
23,0,6,6,-0.8680,0,0.7105,0.1262,0.8738,0.2895
23,0,3,3,-0.7251,0,0.9141,0.0095,0.9905,0.0859
23,0,9,9,-0.3849,0,0.9627,0.0025,0.9975,0.0373
23,0,12,3,-0.2516,1,0.8718,0.0061,0.9939,0.1282
23,0,18,9,-0.4711,0,0.9429,0.0016,0.9984,0.0571
23,0,15,6,-0.3335,0,0.9802,0.0003,0.9997,0.0198
23,0,2,2,-0.1637,1,0.9429,0.0006,0.9994,0.0571
23,0,11,2,-0.3455,0,0.9802,0.0001,0.9999,0.0198
23,0,1,1,-0.1652,0,0.9909,0.0000,1.0000,0.0091
24,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
24,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
24,0,9,9,-0.7251,0,0.2596,0.3924,0.6076,0.7404
24,0,18,9,-0.9519,0,0.4599,0.1453,0.8547,0.5401
24,0,3,3,-0.9177,0,0.7868,0.0112,0.9888,0.2132
24,0,15,6,-0.6343,0,0.9172,0.0020,0.9980,0.0828
